USER_NAME,REVIEW_DATE,RESTAURANT,USER_REVIEWS,USER_RESTAURANT_REVIEWS,USER_HELPFUL_VOTES,REVIEW_STARS
Divert2015,6/30/2015,"Ritz Restaurant",7,7,3,3
Mikethebike476,6/29/2015,"Ritz Restaurant",4,4,6,5
"Przemek W",6/21/2015,"Ritz Restaurant",3,0,2,5
laineyling,6/15/2015,"Ritz Restaurant",13,3,11,4
"Britt-Marie S",6/1/2015,"Ritz Restaurant",7,5,0,5
kruuza,5/27/2015,"Ritz Restaurant",170,98,78,5
Kamalkalsi,5/24/2015,"Ritz Restaurant",1,0,4,5
"Eirin T",5/1/2015,"Ritz Restaurant",1,0,1,5
AWFriz,3/20/2015,"Ritz Restaurant",1,0,0,5
conrad14,3/8/2015,"Ritz Restaurant",37,18,46,2
JJdub1,2/18/2015,"Ritz Restaurant",8,5,8,4
AnjaFJ,11/11/2014,"Ritz Restaurant",54,42,45,4
JacekBJ,11/9/2014,"Ritz Restaurant",437,253,364,4
laputaLondon,11/5/2014,"Ritz Restaurant",7,0,7,5
"Andrzej I",10/26/2014,"Ritz Restaurant",9,3,21,1
gregroberts2014,10/23/2014,"Ritz Restaurant",3,3,6,5
write2miriam,10/15/2014,"Ritz Restaurant",3,0,2,5
"Maria H",10/9/2014,"Ritz Restaurant",3,0,21,5
"Camilla J",11/18/2015,"Ritz Restaurant",8,4,0,4
Agnieszka...,11/12/2015,"Ritz Restaurant",1,0,2,5
Tottolott...,11/12/2015,"Ritz Restaurant",12,6,6,5
Ekaterina...,11/12/2015,"Ritz Restaurant",34,31,12,5
Katarzyna...,11/12/2015,"Ritz Restaurant",16,9,19,5
ceccypia,11/5/2015,"Ritz Restaurant",75,43,26,5
"Jenny T",10/29/2015,"Ritz Restaurant",2,0,0,5
irka712,10/29/2015,"Ritz Restaurant",1,0,3,3
Jaroslaw...,10/29/2015,"Ritz Restaurant",18,10,7,5
"Wouter B",10/6/2015,"Ritz Restaurant",3,0,6,5
"Emilia T",10/4/2015,"Ritz Restaurant",6,0,5,5
agnieszka...,10/1/2015,"Ritz Restaurant",32,25,15,5
"Oddleif N",9/30/2015,"Ritz Restaurant",12,7,7,5
"Kyrre B",9/29/2015,"Ritz Restaurant",3,3,3,5
Christine...,9/29/2015,"Ritz Restaurant",2,0,4,5
"Pawe Z",9/27/2015,"Ritz Restaurant",1,0,3,5
Waldemar...,9/20/2015,"Ritz Restaurant",5,5,9,5
torelars,9/20/2015,"Ritz Restaurant",8,7,1,5
wenchekal...,9/19/2015,"Ritz Restaurant",2,0,2,5
sokrates0...,9/16/2015,"Ritz Restaurant",24,13,15,5
"Tatiana S",9/13/2015,"Ritz Restaurant",1,0,4,5
"Zofia S",9/11/2015,"Ritz Restaurant",20,14,15,3
"Beata B",9/10/2015,"Ritz Restaurant",17,6,4,5
claudiak5...,9/8/2015,"Ritz Restaurant",1,0,2,5
_Vol_84,9/2/2015,"Ritz Restaurant",41,23,4,5
AnnaT63,9/2/2015,"Ritz Restaurant",35,9,21,4
jymand,9/2/2015,"Ritz Restaurant",7,5,3,3
7voyageur...,9/1/2015,"Ritz Restaurant",13,12,6,4
Sarelka,9/1/2015,"Ritz Restaurant",18,9,8,3
Arnfrid50...,8/29/2015,"Ritz Restaurant",8,5,0,5
"Janie V",8/26/2015,"Ritz Restaurant",8,8,3,5
"Carlo C",8/25/2015,"Ritz Restaurant",97,73,52,4
"Thanh Bin...",8/24/2015,"Ritz Restaurant",1,0,2,5
LucasioLu...,8/22/2015,"Ritz Restaurant",10,6,4,4
Aleksandr...,8/21/2015,"Ritz Restaurant",2,0,0,5
"Frank G",8/19/2015,"Ritz Restaurant",2,0,0,5
Andy9484,8/19/2015,"Ritz Restaurant",4,3,1,5
"Marek P",8/17/2015,"Ritz Restaurant",14,3,10,3
"Piotr R",8/13/2015,"Ritz Restaurant",1,0,2,4
"Dieter K",8/10/2015,"Ritz Restaurant",2,0,2,1
Rosman23,8/9/2015,"Ritz Restaurant",10,8,16,5
"Aneta N",8/9/2015,"Ritz Restaurant",2,0,3,5
"Adam Z",8/3/2015,"Ritz Restaurant",2,0,0,5
"Gosia P",8/2/2015,"Ritz Restaurant",1,0,0,5
"Mateusz J",8/2/2015,"Ritz Restaurant",9,8,4,5
Agnieszka...,8/1/2015,"Ritz Restaurant",3,0,1,5
"Trine T",7/31/2015,"Ritz Restaurant",2,0,0,5
"Lidia K",7/29/2015,"Ritz Restaurant",2,0,0,5
"Adam C",7/25/2015,"Ritz Restaurant",8,5,8,5
"Rafal S",7/19/2015,"Ritz Restaurant",1,0,1,5
"Mateusz L",7/13/2015,"Ritz Restaurant",1,0,1,5
Boguslaw...,7/10/2015,"Ritz Restaurant",11,6,3,5
krosno12,7/8/2015,"Ritz Restaurant",4,0,4,5
"ukasz Z",7/8/2015,"Ritz Restaurant",3,3,3,5
ulla0309,7/7/2015,"Ritz Restaurant",1,0,0,5
"Lech W",6/19/2015,"Ritz Restaurant",2,0,2,5
"Pawe G",6/14/2015,"Ritz Restaurant",1,0,1,4
Aleksande...,6/13/2015,"Ritz Restaurant",4,3,3,5
JacekGd84,6/3/2015,"Ritz Restaurant",1,0,2,5
Azja505,6/2/2015,"Ritz Restaurant",1,0,1,5
biszek76,5/26/2015,"Ritz Restaurant",2,0,4,5
Valeduck,5/23/2015,"Ritz Restaurant",12,6,4,5
Izabela19...,5/22/2015,"Ritz Restaurant",12,12,2,5
"Mariusz P",5/12/2015,"Ritz Restaurant",1,0,0,5
"Arne J",4/18/2015,"Ritz Restaurant",15,8,7,5
"ola a",4/12/2015,"Ritz Restaurant",1,0,2,5
Weronika...,3/25/2015,"Ritz Restaurant",1,0,1,5
Wojciech...,3/23/2015,"Ritz Restaurant",302,177,160,5
jasiek111...,3/22/2015,"Ritz Restaurant",95,56,22,5
Krzysztof...,3/18/2015,"Ritz Restaurant",1,0,1,5
Wojciech...,3/4/2015,"Ritz Restaurant",5,5,5,5
"Beata B",3/1/2015,"Ritz Restaurant",12,7,6,5
Globtrote...,2/23/2015,"Ritz Restaurant",11,7,6,5
klarakota,1/5/2015,"Ritz Restaurant",17,12,13,5
polomka,12/11/2014,"Ritz Restaurant",10,9,3,5
"Piotr C",12/4/2014,"Ritz Restaurant",1,0,3,5
mireklh,10/28/2014,"Ritz Restaurant",2,0,4,5
"Anita T",10/27/2014,"Ritz Restaurant",2,0,3,5
115riker,10/25/2014,"Ritz Restaurant",2,0,3,5
"Bart S",10/24/2014,"Ritz Restaurant",2,0,7,2
Arkadius...,10/12/2014,"Ritz Restaurant",1,0,3,5
"Daniel B",10/11/2014,"Ritz Restaurant",7,6,4,5
cleopathr...,9/30/2014,"Ritz Restaurant",37,13,60,3
K143A,11/18/2015,"Prologue Restaurant & Bar",31,25,15,5
Maddawg01,11/16/2015,"Prologue Restaurant & Bar",59,19,25,5
"Rose N",11/14/2015,"Prologue Restaurant & Bar",5,4,2,5
irishediger,11/13/2015,"Prologue Restaurant & Bar",2,0,1,5
eri_spelo,11/12/2015,"Prologue Restaurant & Bar",2,0,1,5
"Michael P",11/5/2015,"Prologue Restaurant & Bar",44,23,48,3
"Tori K",10/29/2015,"Prologue Restaurant & Bar",67,51,46,5
malcjones,10/29/2015,"Prologue Restaurant & Bar",12,4,25,4
"Unni S",10/29/2015,"Prologue Restaurant & Bar",2,0,3,4
"Nadia S",10/29/2015,"Prologue Restaurant & Bar",1,0,4,5
"Thomas M",10/29/2015,"Prologue Restaurant & Bar",3,0,2,3
Leopold67,10/29/2015,"Prologue Restaurant & Bar",18,13,9,5
Mabe31,10/22/2015,"Prologue Restaurant & Bar",1,0,3,5
CarolineFryer,10/22/2015,"Prologue Restaurant & Bar",3,3,4,5
"Kristian N",10/22/2015,"Prologue Restaurant & Bar",1,0,4,3
anniekdebakker,10/22/2015,"Prologue Restaurant & Bar",8,7,3,5
"Sascha S",10/22/2015,"Prologue Restaurant & Bar",2,0,3,5
"tony w",10/22/2015,"Prologue Restaurant & Bar",56,33,28,5
Geophysicsman,10/14/2015,"Prologue Restaurant & Bar",28,17,11,4
Taylordiva,10/12/2015,"Prologue Restaurant & Bar",12,8,7,5
Pine07,10/8/2015,"Prologue Restaurant & Bar",183,60,55,5
759quintend,10/8/2015,"Prologue Restaurant & Bar",1,0,2,4
"Tiina P",10/8/2015,"Prologue Restaurant & Bar",1,0,1,5
jojimbo,10/6/2015,"Prologue Restaurant & Bar",182,95,101,5
telali2,10/4/2015,"Prologue Restaurant & Bar",90,51,60,5
"Tony L",9/30/2015,"Prologue Restaurant & Bar",1,0,0,5
"Alice E",9/23/2015,"Prologue Restaurant & Bar",7,4,7,5
"Jakub P",9/19/2015,"Prologue Restaurant & Bar",7,7,15,3
smarsman,9/18/2015,"Prologue Restaurant & Bar",103,72,81,4
"PlasmaMedia P",9/16/2015,"Prologue Restaurant & Bar",1,0,1,5
SuusjeEindhoven,9/15/2015,"Prologue Restaurant & Bar",11,4,5,5
elkabelka,9/15/2015,"Prologue Restaurant & Bar",173,105,106,4
"Mikko T",9/15/2015,"Prologue Restaurant & Bar",18,16,4,4
designminkey,9/14/2015,"Prologue Restaurant & Bar",73,36,35,5
petervandenbroek2014,9/14/2015,"Prologue Restaurant & Bar",10,7,2,5
Jimmi_DK,9/13/2015,"Prologue Restaurant & Bar",20,15,23,5
"Aaron H",9/13/2015,"Prologue Restaurant & Bar",1,0,2,5
BIBW,9/4/2015,"Prologue Restaurant & Bar",23,10,7,5
"Claire F",9/2/2015,"Prologue Restaurant & Bar",2,0,6,5
beckyrolph,8/31/2015,"Prologue Restaurant & Bar",3,0,4,5
Emil91h,11/18/2015,"Prologue Restaurant & Bar",2,0,0,5
"Marco T",11/17/2015,"Prologue Restaurant & Bar",33,25,53,5
nuriapimp...,11/16/2015,"Prologue Restaurant & Bar",77,49,56,5
"Emma J",11/16/2015,"Prologue Restaurant & Bar",3,3,1,5
"Jerzy A",11/16/2015,"Prologue Restaurant & Bar",13,12,5,3
"z z",11/12/2015,"Prologue Restaurant & Bar",17,12,6,4
"Tina A",11/12/2015,"Prologue Restaurant & Bar",6,3,1,4
Agnieszka...,11/12/2015,"Prologue Restaurant & Bar",3,0,1,5
Angielika...,11/12/2015,"Prologue Restaurant & Bar",1,0,0,5
"Ewa Z",11/12/2015,"Prologue Restaurant & Bar",1,0,0,5
Elisabeth...,11/12/2015,"Prologue Restaurant & Bar",4,3,6,4
"Morten L",11/5/2015,"Prologue Restaurant & Bar",1,0,1,5
"ukasz L",11/5/2015,"Prologue Restaurant & Bar",2,0,1,5
lallabenn...,11/5/2015,"Prologue Restaurant & Bar",9,6,3,5
"Trine F",10/29/2015,"Prologue Restaurant & Bar",5,3,2,5
jhq-4370,10/29/2015,"Prologue Restaurant & Bar",1,0,1,5
mosto78,10/29/2015,"Prologue Restaurant & Bar",1,0,0,5
arnteivin...,10/29/2015,"Prologue Restaurant & Bar",8,7,2,5
2Luigi,10/29/2015,"Prologue Restaurant & Bar",18,13,6,5
"Ma R",10/29/2015,"Prologue Restaurant & Bar",34,18,16,5
Kristoffe...,10/22/2015,"Prologue Restaurant & Bar",7,4,5,5
PureAs,10/22/2015,"Prologue Restaurant & Bar",1,0,3,5
Pieprzowy,10/22/2015,"Prologue Restaurant & Bar",28,7,31,4
anna_glow...,10/22/2015,"Prologue Restaurant & Bar",8,8,20,1
"Monika O",10/22/2015,"Prologue Restaurant & Bar",14,12,4,5
"Pawe M",10/22/2015,"Prologue Restaurant & Bar",3,3,1,4
Benedicte...,10/12/2015,"Prologue Restaurant & Bar",1,0,1,5
"Trude T",10/6/2015,"Prologue Restaurant & Bar",1,0,1,5
"Pawe W",10/5/2015,"Prologue Restaurant & Bar",3,0,1,5
Krzysztof...,10/4/2015,"Prologue Restaurant & Bar",33,11,15,3
"D B",9/29/2015,"Prologue Restaurant & Bar",1,0,1,5
"Juanjo M",9/29/2015,"Prologue Restaurant & Bar",6,5,1,4
Oda111,9/27/2015,"Prologue Restaurant & Bar",11,6,2,5
"Heidi J",9/26/2015,"Prologue Restaurant & Bar",1,0,1,5
"Hannes D",9/26/2015,"Prologue Restaurant & Bar",1,0,1,5
Christine...,9/26/2015,"Prologue Restaurant & Bar",2,0,4,5
gwaram,9/24/2015,"Prologue Restaurant & Bar",10,10,7,3
"Marc a",9/22/2015,"Prologue Restaurant & Bar",1,0,0,5
GKonovale...,9/21/2015,"Prologue Restaurant & Bar",179,62,105,4
pumse,9/21/2015,"Prologue Restaurant & Bar",1,0,0,5
"Lars B",9/20/2015,"Prologue Restaurant & Bar",13,12,2,5
"Anna S",9/19/2015,"Prologue Restaurant & Bar",17,15,12,5
"Sandra G",9/18/2015,"Prologue Restaurant & Bar",4,3,2,5
"parzy k",9/17/2015,"Prologue Restaurant & Bar",5,4,2,5
"Geir S",9/13/2015,"Prologue Restaurant & Bar",5,5,2,5
Stanisaw...,9/13/2015,"Prologue Restaurant & Bar",1,0,3,5
"Zofia S",9/11/2015,"Prologue Restaurant & Bar",20,14,15,5
"MEZZE Syl...",9/11/2015,"Prologue Restaurant & Bar",1,0,2,5
"Barsow S",9/10/2015,"Prologue Restaurant & Bar",8,5,2,5
tove134,9/9/2015,"Prologue Restaurant & Bar",1,0,2,5
"Monika O",9/9/2015,"Prologue Restaurant & Bar",14,12,4,5
"Piotr M",9/9/2015,"Prologue Restaurant & Bar",1,0,2,5
"Agata C",9/8/2015,"Prologue Restaurant & Bar",1,0,2,5
"Peter W",9/8/2015,"Prologue Restaurant & Bar",4,4,5,5
"Gosia S",9/6/2015,"Prologue Restaurant & Bar",1,0,4,5
NazwaNieM...,9/3/2015,"Prologue Restaurant & Bar",5,5,3,5
"Atle L",9/2/2015,"Prologue Restaurant & Bar",1,0,3,5
blossbook...,8/30/2015,"Prologue Restaurant & Bar",4,3,5,5
"Jakub P",11/12/2015,"Pierogarnia Mandu",7,7,15,3
"Wout V",11/12/2015,"Pierogarnia Mandu",27,11,4,5
EboracumYork,10/29/2015,"Pierogarnia Mandu",198,129,96,5
"Artur G",10/29/2015,"Pierogarnia Mandu",19,8,9,4
anniekdebakker,10/22/2015,"Pierogarnia Mandu",8,7,3,3
WKNDWa,10/22/2015,"Pierogarnia Mandu",30,6,2,5
Celestine89,10/12/2015,"Pierogarnia Mandu",35,16,12,5
"Jakub P",10/10/2015,"Pierogarnia Mandu",7,7,15,3
telali2,10/4/2015,"Pierogarnia Mandu",90,51,60,5
reichski,10/2/2015,"Pierogarnia Mandu",9,6,2,4
"Chista N",10/1/2015,"Pierogarnia Mandu",72,32,66,5
lynnhurley,10/1/2015,"Pierogarnia Mandu",45,15,19,3
"Stephen B",9/29/2015,"Pierogarnia Mandu",23,12,6,4
reisefantomet,9/22/2015,"Pierogarnia Mandu",10,5,2,4
Fielina1234,9/20/2015,"Pierogarnia Mandu",10,8,0,5
elkabelka,9/18/2015,"Pierogarnia Mandu",173,105,106,4
"Maurice w",9/13/2015,"Pierogarnia Mandu",4,4,3,5
"Alice L",9/13/2015,"Pierogarnia Mandu",18,13,2,5
"Reneta N",9/12/2015,"Pierogarnia Mandu",4,3,1,5
Iirme,9/10/2015,"Pierogarnia Mandu",1,0,0,5
"Justyna K",9/8/2015,"Pierogarnia Mandu",16,12,1,5
"Al H",9/6/2015,"Pierogarnia Mandu",3,0,1,5
"Piotr K",9/6/2015,"Pierogarnia Mandu",5,0,2,5
artsta,9/2/2015,"Pierogarnia Mandu",17,9,9,4
Andreea_C_Hristu,8/28/2015,"Pierogarnia Mandu",18,9,6,2
"Paul S",8/22/2015,"Pierogarnia Mandu",5,4,4,5
DanimalBWI,8/22/2015,"Pierogarnia Mandu",59,52,27,4
"Jose G",8/3/2015,"Pierogarnia Mandu",3,3,1,5
"Stein S",7/27/2015,"Pierogarnia Mandu",11,9,2,5
"Natalie C",7/26/2015,"Pierogarnia Mandu",14,7,1,5
"Nadia X",7/25/2015,"Pierogarnia Mandu",39,16,15,5
"29fabbe29 .",7/22/2015,"Pierogarnia Mandu",2,0,0,3
"De K",7/19/2015,"Pierogarnia Mandu",16,7,7,5
krysti2014,7/9/2015,"Pierogarnia Mandu",6,4,2,5
"thuy t",7/7/2015,"Pierogarnia Mandu",2,0,1,5
Tapio31,7/7/2015,"Pierogarnia Mandu",31,16,3,3
"Ewa W",7/7/2015,"Pierogarnia Mandu",10,8,5,3
"Domi N",7/6/2015,"Pierogarnia Mandu",8,6,4,5
"Mateusz K",7/5/2015,"Pierogarnia Mandu",39,25,4,4
Jacek-Tomasz,6/30/2015,"Pierogarnia Mandu",8,5,3,4
"Kefah A",6/30/2015,"Pierogarnia Mandu",22,11,5,5
TimTimTim87,6/28/2015,"Pierogarnia Mandu",4,4,1,5
"Aykut I",6/26/2015,"Pierogarnia Mandu",1,0,0,5
jujitsu77,6/22/2015,"Pierogarnia Mandu",360,335,188,4
"Zeke D",6/18/2015,"Pierogarnia Mandu",11,4,5,5
Noz1,6/18/2015,"Pierogarnia Mandu",7,6,9,5
"Agata O",6/16/2015,"Pierogarnia Mandu",3,3,1,3
nmitsides1,6/14/2015,"Pierogarnia Mandu",91,62,54,4
marcowy,6/9/2015,"Pierogarnia Mandu",28,17,2,4
"PiratesOf K",6/8/2015,"Pierogarnia Mandu",1,0,0,5
"Alicja M",6/6/2015,"Pierogarnia Mandu",15,13,6,4
pawel_hbg,6/1/2015,"Pierogarnia Mandu",403,120,349,4
lordfarquart,5/21/2015,"Pierogarnia Mandu",2,0,4,5
"Amy S",5/21/2015,"Pierogarnia Mandu",24,12,9,4
Ch-Henry,5/18/2015,"Pierogarnia Mandu",130,47,54,5
"Ivana P",5/17/2015,"Pierogarnia Mandu",2,0,0,5
"Cara L",5/4/2015,"Pierogarnia Mandu",12,10,5,5
shirleyandroman,5/3/2015,"Pierogarnia Mandu",2,0,0,4
garybasing,4/28/2015,"Pierogarnia Mandu",32,13,10,5
"Oktawia B",4/26/2015,"Pierogarnia Mandu",2,0,0,5
"Kasia Z",4/24/2015,"Pierogarnia Mandu",18,16,2,5
"Tom H",4/15/2015,"Pierogarnia Mandu",20,17,9,5
"Lucy N",4/5/2015,"Pierogarnia Mandu",6,4,6,5
MakaiTamas,3/17/2015,"Pierogarnia Mandu",6,4,3,5
"Jasia P",3/14/2015,"Pierogarnia Mandu",5,5,1,5
"Anssi M",3/8/2015,"Pierogarnia Mandu",9,8,6,4
"James M",2/19/2015,"Pierogarnia Mandu",3,3,2,5
MC_657,2/18/2015,"Pierogarnia Mandu",110,59,46,3
"Pola G",1/26/2015,"Pierogarnia Mandu",13,4,18,4
thearndt,1/23/2015,"Pierogarnia Mandu",145,65,76,5
Mbator,1/22/2015,"Pierogarnia Mandu",31,22,46,5
"Dominik M",12/24/2014,"Pierogarnia Mandu",221,112,68,3
"Asia F",12/19/2014,"Pierogarnia Mandu",1,0,0,5
"Yasmina R",12/1/2014,"Pierogarnia Mandu",7,3,5,5
FrequentFlier100,11/18/2014,"Pierogarnia Mandu",19,6,12,5
"Chista N",11/12/2014,"Pierogarnia Mandu",72,32,66,5
JacobVanders,10/23/2014,"Pierogarnia Mandu",2,0,2,5
GosiaKJ,10/15/2014,"Pierogarnia Mandu",37,25,13,5
stkarcz,8/26/2014,"Pierogarnia Mandu",38,14,10,5
Dominika...,11/16/2015,"Pierogarnia Mandu",2,0,0,5
"Dorota M",11/14/2015,"Pierogarnia Mandu",2,0,0,5
Smakoszzz,11/12/2015,"Pierogarnia Mandu",12,11,0,4
SeMiGa,11/12/2015,"Pierogarnia Mandu",10,3,0,5
seboprzy,11/12/2015,"Pierogarnia Mandu",4,4,0,5
mgr6,11/5/2015,"Pierogarnia Mandu",18,12,2,5
450dr1967,11/5/2015,"Pierogarnia Mandu",1,0,0,5
"Magda T",11/5/2015,"Pierogarnia Mandu",6,4,1,5
"Daria S",10/29/2015,"Pierogarnia Mandu",1,0,0,5
"Jenny T",10/29/2015,"Pierogarnia Mandu",2,0,0,3
bboczula,10/29/2015,"Pierogarnia Mandu",2,0,0,5
"Maren H",10/29/2015,"Pierogarnia Mandu",5,3,4,5
JoannaGgg,10/29/2015,"Pierogarnia Mandu",2,0,0,5
siemadenm...,10/29/2015,"Pierogarnia Mandu",3,0,0,5
Monia70Ro...,10/29/2015,"Pierogarnia Mandu",11,3,1,5
Ania_Gral...,10/22/2015,"Pierogarnia Mandu",20,7,4,4
mgdansk,10/22/2015,"Pierogarnia Mandu",2,0,0,2
Sycyliana,10/22/2015,"Pierogarnia Mandu",45,21,8,3
pmalina6,10/22/2015,"Pierogarnia Mandu",23,17,9,4
Jarek82,10/22/2015,"Pierogarnia Mandu",13,6,19,5
"Monika H",10/15/2015,"Pierogarnia Mandu",11,7,0,5
"Hans v",10/14/2015,"Pierogarnia Mandu",7,6,1,5
"Olga N",10/8/2015,"Pierogarnia Mandu",5,5,2,5
Agnieszka...,10/4/2015,"Pierogarnia Mandu",21,6,3,4
Aleksandr...,10/2/2015,"Pierogarnia Mandu",12,12,1,5
"Zibi J",10/1/2015,"Pierogarnia Mandu",21,16,9,5
Dominika...,10/1/2015,"Pierogarnia Mandu",3,0,6,5
SuperFere...,9/30/2015,"Pierogarnia Mandu",14,12,2,5
kaja275,9/27/2015,"Pierogarnia Mandu",15,14,2,5
"Julas K",9/26/2015,"Pierogarnia Mandu",1,0,3,5
"Justyna W",9/26/2015,"Pierogarnia Mandu",2,0,1,5
"Izabela S",9/25/2015,"Pierogarnia Mandu",5,4,0,5
karolkafe,9/23/2015,"Pierogarnia Mandu",4,0,0,5
"Paolo N",9/17/2015,"Pierogarnia Mandu",16,8,5,5
"Jitka F",9/15/2015,"Pierogarnia Mandu",8,7,0,5
sofieliza...,9/15/2015,"Pierogarnia Mandu",6,6,0,5
nooravag,9/13/2015,"Pierogarnia Mandu",8,5,3,5
SecretBlo...,9/13/2015,"Pierogarnia Mandu",12,10,6,5
w0jtunio,9/12/2015,"Pierogarnia Mandu",2,0,1,5
"Adam K",9/11/2015,"Pierogarnia Mandu",3,3,0,5
"Szymon L",9/10/2015,"Pierogarnia Mandu",18,10,4,5
"Dorota H",9/9/2015,"Pierogarnia Mandu",13,0,0,5
IzaU2013,9/9/2015,"Pierogarnia Mandu",22,16,5,5
zwiatremw...,9/9/2015,"Pierogarnia Mandu",33,16,11,4
"Bartosz K",9/9/2015,"Pierogarnia Mandu",6,5,1,5
Freeqy,9/7/2015,"Pierogarnia Mandu",1,0,0,5
"Jakub S",9/7/2015,"Pierogarnia Mandu",2,0,0,5
"david v",9/5/2015,"Pierogarnia Mandu",8,3,1,4
Krzysztof...,9/3/2015,"Pierogarnia Mandu",2,0,0,5
Karolina...,9/3/2015,"Pierogarnia Mandu",2,0,0,5
"Kasia M",9/2/2015,"Pierogarnia Mandu",21,16,7,4
karolcia9...,9/2/2015,"Pierogarnia Mandu",35,10,3,5
"Marcin S",9/1/2015,"Pierogarnia Mandu",7,6,3,5
"Klaudia Z",9/1/2015,"Pierogarnia Mandu",15,10,3,5
"Ola T",8/31/2015,"Pierogarnia Mandu",4,4,1,5
Agatanero...,8/30/2015,"Pierogarnia Mandu",16,12,8,2
"Pah T",8/30/2015,"Pierogarnia Mandu",144,24,51,3
Damian199...,8/29/2015,"Pierogarnia Mandu",9,8,3,4
"Monica C",8/27/2015,"Pierogarnia Mandu",7,3,4,5
juuulian,8/27/2015,"Pierogarnia Mandu",4,3,0,5
StefMilan...,8/24/2015,"Pierogarnia Mandu",154,82,74,5
Karolina...,8/23/2015,"Pierogarnia Mandu",3,0,1,5
"Peppe L",8/23/2015,"Pierogarnia Mandu",39,31,9,5
"Denis B",8/22/2015,"Pierogarnia Mandu",100,24,60,5
"Kamil W",8/19/2015,"Pierogarnia Mandu",8,6,8,2
Monika_i...,8/19/2015,"Pierogarnia Mandu",4,0,4,5
"Do R",8/17/2015,"Pierogarnia Mandu",4,3,0,5
NazwaNieM...,8/17/2015,"Pierogarnia Mandu",5,5,3,5
"Marta N",8/17/2015,"Pierogarnia Mandu",26,25,5,2
Aleandro...,8/15/2015,"Pierogarnia Mandu",10,0,2,5
"Karol B",8/15/2015,"Pierogarnia Mandu",2,0,0,5
Sebastian...,8/13/2015,"Pierogarnia Mandu",3,3,1,5
"Cihan A",8/13/2015,"Pierogarnia Mandu",4,0,0,4
Mignonka,8/9/2015,"Pierogarnia Mandu",5,5,0,5
"Szymon J",8/8/2015,"Pierogarnia Mandu",24,16,7,5
navigate1...,8/7/2015,"Pierogarnia Mandu",3,0,1,3
"ANDRU S",8/7/2015,"Pierogarnia Mandu",4,4,2,5
"Natalia L",8/5/2015,"Pierogarnia Mandu",29,21,2,5
"Micha S",8/1/2015,"Pierogarnia Mandu",1,0,0,5
67jac,7/31/2015,"Pierogarnia Mandu",1,0,0,5
Vlad870,7/30/2015,"Pierogarnia Mandu",64,40,8,5
